en-CA;ESDCDTS2020ML;190205;OL_DE18;1,294;1,099;;CA$ 195;-15%;($180)
en-CA;ESDCDTS2020MLUG;190206;OL_DE18;555;469;;CA$ 85;-15%;($78)
de-DE;ESDCDTS2020ML;190205;OL_DE18;999;849;;15 %;-15%;($150)
de-DE;ESDCDTS2020MLUG;190206;OL_DE18;429;364;;15 %;-15%;($72)
en-GB;ESDCDTS2020ML;190205;OL_DE18;944;802;;15%;-15%;($135)
en-GB;ESDCDTS2020MLUG;190206;OL_DE18;405;344;;15%;-15%;($66)
en-US;ESDCDTS2020ML;190205;OL_DE18;999;849;;$150;-15%;($150)
en-US;ESDCDTS2020MLUG;190206;OL_DE18;429;364;;$65;-15%;($65)
fr-FR;ESDCDTS2020ML;190205;OL_DE18;999;849;;15 %;-15%;($150)
fr-FR;ESDCDTS2020MLUG;190206;OL_DE18;429;364;;15 %;-15%;($72)
ja-JP;ESDCDTS2020ML;190205;OL_DE18;127,400;108,280;;15%;-15%;($22,680)
ja-JP;ESDCDTS2020MLUG;190206;OL_DE18;52,580;44,680;;15%;-15%;($11,340)
