en-CA;ESDPVS2021ULT;;220770;199.99;109.99;;45%;-50%;-$100
en-US;ESDPVS2021ULT;;220770;199.99;109.99;;45%;-50%;-$100
pt-BR;ESDPVS2021ULT;;220770;778;544;;30%;-35%;-$273
de-LI;ESDPVS2021ULT;;220770;199.95;139.95;;30%;-35%;-$70
da-DK;ESDPVS2021ULT;;220770;1,398;978;;30%;-35%;-$490
de-DE;ESDPVS2021ULT;;220770;179,99;124,99;;30 %;-33%;-$60
fr-FR;ESDPVS2021ULT;;220770;179,99;124,99;;30 %;-33%;-$60
en-GB;ESDPVS2021ULT;;220770;179.99;124.99;;30%;-33%;-$60
it-IT;ESDPVS2021ULT;;220770;179,99;124,99;;30%;-33%;-$60
nl-NL;ESDPVS2021ULT;;220770;179,99;125,00;;30%;-33%;-$60
ja-JP;ESDPVS2021ULT;;220770;27,580;19,280;;30%;-35%;-$9,700
zh-TW;ESDPVS2021ULT;;220770;7,600;5,320;;30%;-35%;-$9,700
