en-CA;ESDWP2020PREF;213729;OL_WP19PRO;519.99;309.99;;CA$ 210;-40%;($210);259.99;;CA$ 260;-50%;($260)
en-CA;ESDWP2020PREFUG;213731;OL_WP19PRO;337.99;199.99;;CA$ 135;-41%;($138);184.99;;CA$ 150;-45%;($153)
en-CA;WP2020PREFDVDAM;5181541100;OL_WP19PRO;519.99;309.99;;CA$ 210;-40%;($210);259.99;;CA$ 260;-50%;($260)
en-CA;WP2020PREFDVDUGAM;5181541200;OL_WP19PRO;337.99;199.99;;CA$ 135;-41%;($138);184.99;;CA$ 150;-45%;($153)
en-AU;ESDWP2020PREF;213729;OL_WP19PRO;449.95;314.95;;30%;-30%;($135);269.95;;40%;-40%;($180)
en-AU;ESDWP2020PREFUG;213731;OL_WP19PRO;299.95;209.95;;30%;-30%;($90);179.95;;40%;-40%;($120)
en-GB;ESDWP2020PREF;213729;OL_WP19PRO;514.99;359.99;;30%;-30%;($155);308.99;;40%;-40%;($206)
en-GB;ESDWP2020PREFUG;213731;OL_WP19PRO;254.99;177.99;;30%;-30%;($77);152.99;;40%;-40%;($102)
en-US;ESDWP2020PREF;213729;OL_WP19PRO;399.99;239.99;;$160;-40%;($160);199.99;;$200 ;-50%;($200)
en-US;ESDWP2020PREFUG;213731;OL_WP19PRO;259.99;154.99;;$105;-40%;($105);139.99;;$120 ;-46%;($120)
en-US;WP2020PREFDVDAM;5181541900;OL_WP19PRO;399.99;239.99;;$160;-40%;($160);199.99;;$200 ;-50%;($200)
en-US;WP2020PREFDVDUGAM;5181542000;OL_WP19PRO;259.99;154.99;;$105;-40%;($105);139.99;;$120 ;-46%;($120)
ja-JP;ESDWP2020PREF;213729;OL_WP19PRO;61,508;42,980;;30%;-30%;($18,453);36904;;40%;-40%;($24,604)
ja-JP;ESDWP2020PREFUG;213731;OL_WP19PRO;33,737;23,580;;30%;-30%;($10,122);20242;;40%;-40%;($13,495)
