en-AU;ESDWP2020PREF;169627;OL_WP18PRO;449.95;224.95;;50%;-50%;($225)
en-AU;ESDWP2020PREFUG;169628;OL_WP18PRO;299.95;149.95;;50%;-50%;($150)
en-CA;ESDWP2020PREF;169627;OL_WP18PRO;519.99;207.99;;CA$ 310;-60%;($312)
en-CA;ESDWP2020PREFUG;169628;OL_WP18PRO;337.99;164.99;;CA$ 170;-51%;($173)
en-GB;ESDWP2020PREF;169627;OL_WP18PRO;514.99;254.99;;50%;-50%;($260)
en-GB;ESDWP2020PREFUG;169628;OL_WP18PRO;254.99;124.99;;50%;-51%;($130)
en-IE;ESDWP2020PREF;169627;OL_WP18PRO;664.99;329.99;;50%;-50%;($335)
en-IE;ESDWP2020PREFUG;169628;OL_WP18PRO;334.99;164.99;;50%;-51%;($170)
en-US;ESDWP2020PREF;169627;OL_WP18PRO;399.99;159.99;;$240;-60%;($240)
en-US;ESDWP2020PREFUG;169628;OL_WP18PRO;259.99;129.99;;$130;-50%;($130)
ja-JP;ESDWP2020PREF;169627;OL_WP18PRO;61,508;30,754;;50%;-50%;($30,754)
ja-JP;ESDWP2020PREFUG;169628;OL_WP18PRO;33,737;16,868;;50%;-50%;($16,869)
pt-BR;ESDWP2020PREF;857302200;OL_WP18PRO;1.994;;;;;
pt-BR;ESDWP2020PREFUG;857302300;OL_WP18PRO;1.006;;;;;
